FIPS,County,State,FIPS_Year,Year,Total Population,Total Violent And Property Crimes Rate,Violent Crimes Rate,Violent Crimes Rate D,Property Crimes Rate,Property Crimes Rate D,Total Violent Crimes Rate: Rape Legacy Definition,Total Violent Crimes Rate: Murders And Nonnegligent Manslaughters Rate,Total Violent Crimes Rate: Rape Revised Definition Rate,Total Violent Crimes Rate: Rape Legacy Definition Rate,Total Violent Crimes Rate: Robberies Rate,Total Violent Crimes Rate: Aggravated Assaults Rate,Total Property Crimes Rate: Burglaries Rate,Total Property Crimes Rate: Larcenies Rate,Total Property Crimes Rate: Motor Vehicle Thefts Rate,Arsons Rate,Rape Legacy Definition Rate
17169,Schuyler County,Illinois,17169_2015,2015,7032,0,0,1,0,1,32.56768331,0,0,0.350583932,0,0,0,0,0,14.22070535,22.65530452
17171,Scott County,Illinois,17171_2013,2013,5234,668.7046236,0,1,668.7046236,4,0,0,0.023552841,0,0,0,248.3760031,420.3286206,0,0,19.03061876
17171,Scott County,Illinois,17171_2016,2016,5053,494.7555907,0,1,494.7555907,3,3.895749878,0,0,0,0,0,217.6924599,277.0631308,0,0,19.48826905
1043,Cullman County,Alabama,01043_2017,2017,81316,1262.974,89.77323,3,1173.201,5,0,0,41.81218948,36.78076366,12.29770279,35.66333809,275.4685425,747.7003296,150.031974,0,13.56535034
17171,Scott County,Illinois,17171_2019,2019,4951,302.9690972,0,1,302.9690972,2,0,0,0,0,0,0,100.9896991,121.1876389,80.79175924,0,15.53230346
17175,Stark County,Illinois,17175_2016,2016,5776,709.833795,0,1,709.833795,4,0,0,0,0.005853454,0,0,173.1301939,484.7645429,51.93905817,0,16.50921885
17185,Wabash County,Illinois,17185_2016,2016,11492,147.9289941,0,1,147.9289941,1,0,0,0,0,0,0,43.50852767,87.01705534,17.40341107,0,17.55270413
1045,Dale County,Alabama,01045_2017,2017,49607,479.771,88.69716,3,391.0739,2,0,4.031689076,30.23766807,25.1833958,8.063378152,46.36442438,106.8397605,229.8062773,54.42780253,0,16.67809774
17185,Wabash County,Illinois,17185_2018,2018,11549,60.61130834,0,1,60.61130834,1,13.26265641,0,0,0,0,0,0,43.29379167,17.31751667,8.658758334,19.40384091
17185,Wabash County,Illinois,17185_2019,2019,11520,17.36111111,0,1,17.36111111,1,1.003978863,0,0,0,0,0,8.680555556,8.680555556,0,0,18.20495506
18013,Brown County,Indiana,18013_2013,2013,15054,617.7760064,0,1,617.7760064,3,0,0,0.058405509,0,0,0,232.4963465,318.8521323,66.42752757,6.642752757,17.0495997
18027,Daviess County,Indiana,18027_2014,2014,32729,219.9883895,0,1,219.9883895,1,0,0,0,0.128853888,0,0,88.60643466,103.8834062,27.49854869,0,17.41483898
18027,Daviess County,Indiana,18027_2016,2016,32969,330.6136067,0,1,330.6136067,2,0,0,0,0,0,0,94.02772301,194.1217507,42.46413297,0,16.75346985
18083,Knox County,Indiana,18083_2013,2013,38064,0,0,1,0,1,0,0,3.92E-05,0,0,0,0,0,0,0,18.00874546
18137,Ripley County,Indiana,18137_2014,2014,28497,750.956241,0,1,750.956241,4,3.876122043,0,0.032850095,0,0,0,178.966207,550.9351862,21.05484788,2.504937272,18.15831652
18177,Wayne County,Indiana,18177_2015,2015,67001,459.6946314,0,1,459.6946314,3,17.4369329,0,0.065341712,0,0,0,198.5044999,261.1901315,0,12.2453025,21.62978561
18181,White County,Indiana,18181_2014,2014,24453,0,0,1,0,1,3.60150797,0,0,0.109912423,0,0,0,0,0,0,18.43296771
18181,White County,Indiana,18181_2015,2015,24293,0,0,1,0,1,3.386538693,0,0,0.004703456,0,0,0,0,0,0,18.40860471
18181,White County,Indiana,18181_2016,2016,23999,0,0,1,0,1,3.347786963,0,0,0,0,0,0,0,0,0,18.40469555
18181,White County,Indiana,18181_2018,2018,24133,87.01777649,0,1,87.01777649,1,5.67497864,0,0,0,0,0,78.7303692,4.143703642,4.143703642,7.960404831,19.5538475
19001,Adair County,Iowa,19001_2019,2019,7152,335.5704698,0,1,335.5704698,2,0,0,0,0,0,0,97.87472036,195.7494407,41.94630872,0,16.83485093
19003,Adams County,Iowa,19003_2016,2016,3693,812.3476848,0,1,812.3476848,4,0,0,0,0,0,0,162.469537,595.7216355,54.15651232,0,16.18797662
19023,Butler County,Iowa,19023_2015,2015,14915,60.34193765,0,1,60.34193765,1,0,0,0,0,0,0,20.11397922,6.704659739,33.52329869,0,16.9207833
19063,Emmet County,Iowa,19063_2019,2019,9208,76.02085143,0,1,76.02085143,1,0,0,0,0,0,0,0,54.30060817,21.72024327,0,17.16222494
19069,Franklin County,Iowa,19069_2019,2019,10070,9.930486594,0,1,9.930486594,1,0,0,0,0,0,0,0,0,9.930486594,0,17.68294227
19073,Greene County,Iowa,19073_2013,2013,9156,0,0,1,0,1,2.897160115,0,0,0,0,0,0,0,0,0,18.37702276
19073,Greene County,Iowa,19073_2014,2014,9200,0,0,1,0,1,2.899400175,0,0,0,0,0,0,0,0,0,18.37720592
19077,Guthrie County,Iowa,19077_2016,2016,10625,329.4117647,0,1,329.4117647,2,0,0,0,0,0,0,94.11764706,216.4705882,18.82352941,0,17.63119325
19089,Howard County,Iowa,19089_2019,2019,9158,382.1795152,0,1,382.1795152,2,0,0,0,0,0,0,218.3882944,131.0329766,32.75824416,0,18.06154741
19091,Humboldt County,Iowa,19091_2016,2016,9487,495.4147781,0,1,495.4147781,3,0,0,0,0,0,0,200.2740592,263.518499,31.62221988,0,17.77895241
19091,Humboldt County,Iowa,19091_2019,2019,9558,428.9600335,0,1,428.9600335,2,22.47045718,0,0,0,0,0,115.0868383,292.9483155,20.92487968,10.46243984,20.78870567
19101,Jefferson County,Iowa,19101_2013,2013,17276,277.8420931,0,1,277.8420931,2,0.718070481,0,0,0,0,0,86.82565409,150.4978004,40.51863857,5.788376939,17.33933388
1047,Dallas County,Alabama,01047_2017,2017,41426,1472.505,263.1198,3,1209.385,5,16.65998239,2.413942934,19.31154348,14.31549195,31.38125815,210.0130353,451.4073287,680.7319075,77.2461739,0,19.17210581
19131,Mitchell County,Iowa,19131_2013,2013,10724,177.1726968,0,1,177.1726968,1,4.23114205,0,0,0,0,0,93.24878777,83.92390899,0,0,19.00327817
19131,Mitchell County,Iowa,19131_2019,2019,10586,47.23219346,0,1,47.23219346,1,3.297070955,0,0,0,0,0,18.89287739,28.33931608,0,0,18.49909336
19143,Osceola County,Iowa,19143_2013,2013,6222,80.36001286,0,1,80.36001286,1,0,0,0,0,0,0,0,64.28801029,16.07200257,0,17.36096959
19159,Ringgold County,Iowa,19159_2013,2013,5046,812.5247721,0,1,812.5247721,4,0,0,0,0,0,0,317.0828379,435.9889021,59.4530321,0,17.24854536
