FIPS,School District Name,County Names,State,LEA,SchoolDigger Number of Stars Elementary,SchoolDigger Number of Stars High,SchoolDigger Number of Stars Middle,SchoolDigger Rank Elementary,SchoolDigger Rank High,SchoolDigger Rank Middle,SchoolDigger Rank Of Elementary,SchoolDigger Rank Of High,SchoolDigger Rank Of Middle,Number of All students,% White students,% Black students,% Asian students,% Hispanic students,% American Indian/Alaska Native students,% Hawaiian Native/Pacific Islander students,% students with Two or More Races,Total Student membership/Full-Time-Equvalent teachers,Number of Charter schools,% Students Receiving Free or DisNumbered Lunch,Number of Magnet schools,Number of Virtual schools
3800033,Fort Ransom Public School District 6,LaMoure County,North Dakota,33,,,,,,,,,,27,100,0,0,0,0,0,0,8.5,0,0,0,0
3800033,Fort Ransom Public School District 6,Ransom County,North Dakota,33,,,,,,,,,,27,100,0,0,0,0,0,0,8.5,0,0,0,0
3807950,Goodrich Public School District 16,Sheridan County,North Dakota,7950,,,,,,,,,,23,100,0,0,0,0,0,0,3.75,0,0,0,0
3820230,Wolford Public School District 1,Pierce County,North Dakota,20230,,,,,,,,,,44,100,0,0,0,0,0,0,4.8,0,0,0,0
3820230,Wolford Public School District 1,Rolette County,North Dakota,20230,,,,,,,,,,44,100,0,0,0,0,0,0,4.8,0,0,0,0
5300450,Benge School District,Adams County,Washington,450,,,,,,,,,,12,100,0,0,0,0,0,0,6,0,0,0,0
5302160,Dixie School District,Walla Walla County,Washington,2160,,,,,,,,,,12,100,0,0,0,0,0,0,6,0,0,0,0
4621300,Elk Mountain School District 16-2,Custer County,South Dakota,21300,,,,,,,,,,16,87.5,0,0,12.5,0,0,0,4.033333333,0,0,0,1
400750,Apache Elementary District,Cochise County,Arizona,750,,,,,,,,,,8,75,0,0,25,0,0,0,,0,0,0,0
400870,Ash Creek Elementary District,Cochise County,Arizona,870,,,,,,,,,,19,94.7,0,0,5.3,0,0,0,10.2,0,0,0,0
402490,Double Adobe Elementary District,Cochise County,Arizona,2490,,,,,,,,,,44,88.6,0,0,11.4,0,0,0,11,0,0,0,0
403660,Hackberry School District,Mohave County,Arizona,3660,,,,,,,,,,28,75,0,0,25,0,0,0,7,0,0,0,0
408460,Hillside Elementary District,Yavapai County,Arizona,8460,,,,,,,,,,16,75,0,0,25,0,0,0,8,0,0,0,0
405730,Owens-Whitney Elementary District,Mohave County,Arizona,5730,,,,,,,,,,18,88.9,0,0,11.1,0,0,0,10.2,0,0,0,0
406150,Pearce Elementary District,Cochise County,Arizona,6150,,,,,,,,,,90,66.7,0,0,33.3,0,0,0,12.8,0,0,0,0
407380,San Fernando Elementary District,Pima County,Arizona,7380,,,,,,,,,,18,5.6,0,0,94.4,0,0,0,18,0,0,0,0
407770,Skull Valley Elementary District,Yavapai County,Arizona,7770,,,,,,,,,,22,90.9,0,0,9.1,0,0,0,11,0,0,0,0
405760,Tonto Basin Elementary District,Gila County,Arizona,5760,,,,,,,,,,69,89.9,0,0,10.1,0,0,0,9.8,0,0,0,0
409120,Wenden Elementary District,La Paz County,Arizona,9120,,,,,,,,,,92,5.4,0,0,94.6,0,0,0,23,0,0,0,0
